Author Last,Author First,Title,ISBN1,ISBN2,ISBN3,Pub City,Publisher,Pub Date,HEB ID,Subject Category,URL
Anderson, Eric,In the game: gay athletes and the cult of masculinity,,,,"Albany, NY",State University of New York Press,2005-01-01,HEB33313.0001.001,Gender Studies,https://hdl.handle.net/2027/heb33313.0001.001,9780791482872
Guha, Sumit,"Environment and ethnicity in India, 1200-1991",,,,Cambridge,Cambridge University Press,2006-01-01,HEB33326.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb33326.0001.001,9780521640787
Dombrowski, Daniel A,Rawls and religion: the case for political liberalism,,,,"Albany, NY",State University of New York Press,2001-01-01,HEB33314.0001.001,Philosophy,https://hdl.handle.net/2027/heb33314.0001.001,9780791490464
Takim, Liyakat,The heirs of the prophet: charisma and religious authority in Shi'ite Islam,,,,"Albany, NY",State University of New York Press,2006-01-01,HEB33312.0001.001,Islamic Studies,https://hdl.handle.net/2027/heb33312.0001.001,9780791481912
Cotera, María Eugenia,"Native speakers: Ella Deloria, Zora Neale Hurston, Jovita González, and the poetics of culture",,,,Austin,University of Texas Press,2008-01-01,HEB33641.0001.001,Women's Studies,https://hdl.handle.net/2027/heb33641.0001.001,9780292718685
Carrera, Magali Marie,"Imagining identity in New Spain: race, lineage, and the colonial body in portraiture and casta paintings",,,,Austin,University of Texas Press,2003-01-01,HEB33638.0001.001,Art History,https://hdl.handle.net/2027/heb33638.0001.001,9780292797741
Foote, Kenneth E.,Shadowed ground: America's landscapes of violence and tragedy,,,,Austin,University of Texas Press,2003-01-01,HEB33640.0001.001,American: General & Multiperiod,https://hdl.handle.net/2027/heb33640.0001.001,9780292799103
McFarland, Pancho,Chicano rap: gender and violence in the postindustrial barrio,,,,Austin,University of Texas Press,2008-01-01,HEB33642.0001.001,Hip Hop Studies,https://hdl.handle.net/2027/heb33642.0001.001,9780292718036
Wahl, Jean André,Transcendence and the concrete: selected writings,,,,New York,Fordham University Press,2017-01-01,HEB33781.0001.001,Philosophy,https://hdl.handle.net/2027/heb33781.0001.001,9780823273034
Powell, Lynda W.,The influence of campaign contributions in state legislatures: the effects of institutions and politics,,,,Ann Arbor,University of Michigan Press,2012-01-01,HEB33788.0001.001,Political Science,https://hdl.handle.net/2027/heb33788.0001.001,9780472071722
Kim, Suk-Young,"Illusive utopia: theater, film, and everyday performance in North Korea",,,,Ann Arbor,University of Michigan Press,2010-01-01,HEB33785.0001.001,Dance & Performance History,https://hdl.handle.net/2027/heb33785.0001.001,9780472117086
Savran, David,"Highbrow/lowdown: theater, jazz, and the making of the new middle class",,,,Ann Arbor,University of Michigan Press,2009-01-01,HEB33787.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb33787.0001.001,9780472116928
Hart, John Mason,Empire and revolution: the Americans in Mexico since the Civil War,,,,Berkeley,University of California Press,2002-01-01,HEB90008.0001.001,Latin American,https://hdl.handle.net/2027/heb90008.0001.001,9780520939295
Sigel, Lisa Z.,"Governing pleasures: pornography and social change in England, 1815-1914",,,,"Piscataway, N.J.",Rutgers University Press,2002-01-01,HEB90003.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb90003.0001.001,9780813533049
Schoenwald, Jonathan M.,A time for choosing: the rise of modern American conservatism,,,,New York,Oxford University Press,2003-01-01,HEB90006.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb90006.0001.001,9780195180336
Decker, Todd R.,Music makes me: Fred Astaire and jazz,,,,"Berkeley, Calif.",University of California Press,2011-01-01,HEB33890.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb33890.0001.001,9780520950061
Allen, Ann Taylor,"Feminism and motherhood in Germany, 1800-1914",,,,"New Brunswick, N.J.",Rutgers University Press,1991-01-01,HEB04480.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04480.0001.001,9780813516868
Grever, Maria,Transforming the public sphere: the Dutch national exhibition of women's labor in 1898,,,,"Durham, [N.C.]",Duke University Press,2004-01-01,HEB04502.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04502.0001.001,9780822385547
Harsin, Jill,Policing prostitution in nineteenth-century Paris,,,,"Princeton, N.J.",Princeton University Press,1985-01-01,HEB04506.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04506.0001.001,9780691054391
Israel, Kali,Names and stories: Emilia Dilke and Victorian culture,,,,Oxford [U.K.],Oxford University Press,2002-01-01,HEB04515.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04515.0001.001,9780198028642
Orr, Leslie C.,"Donors, devotees, and daughters of God: temple women in medieval Tamilnadu",,,,New York,Oxford University Press,2000-01-01,HEB04647.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04647.0001.001,9780195356724
Burton, Antoinette M.,"Dwelling in the archive: women writing house, home, and history in late colonial India",,,,New York,Oxford University Press,2003-01-01,HEB04611.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04611.0001.001,9780195349344
Borthwick, Meredith,"The changing role of women in Bengal, 1849-1905",,,,"Princeton, N.J.",Princeton University Press,1984-01-01,HEB04609.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04609.0001.001,9780691054094
Butalia, Urvashi,The other side of silence: voices from the partition of India,,,,"Durham, NC",Duke University Press,2000-01-01,HEB04612.0001.001,Women's Studies,https://hdl.handle.net/2027/heb04612.0001.001,9780822324942
Geggus, David Patrick,Haitian revolutionary studies,,,,"Bloomington, Ind.",Indiana University Press,2002-01-01,HEB04575.0001.001,Caribbean,https://hdl.handle.net/2027/heb04575.0001.001,9780253341044
Palmié, Stephan,Wizards and scientists: explorations in Afro-Cuban modernity and tradition,,,,"Durham, N.C.",Duke University Press,2002-01-01,HEB04585.0001.001,Caribbean,https://hdl.handle.net/2027/heb04585.0001.001,9780822383642
Lewis, Gordon K.,"Main currents in Caribbean thought: the historical evolution of Caribbean society in its ideological aspects, 1492-1900",,,,Baltimore,Johns Hopkins University Press,1987-01-01,HEB04580.0001.001,Caribbean,https://hdl.handle.net/2027/heb04580.0001.001,9780801834929
Schmidt, Hans,"The United States occupation of Haiti, 1915-1934",,,,"New Brunswick, N.J.",Rutgers University Press,1995-01-01,HEB04590.0001.001,Caribbean,https://hdl.handle.net/2027/heb04590.0001.001,9780813522036
Dray, William H.,History as re-enactment: R.G. Collingwood's idea of history,,,,Oxford [U.K.],Oxford University Press,1999-01-01,HEB04813.0001.001,Methods/Theory,https://hdl.handle.net/2027/heb04813.0001.001,9780198242932
Hartog, François,The mirror of Herodotus: the representation of the other in the writing of history,,,,Berkeley,University of California Press,1988-01-01,HEB04837.0001.001,Methods/Theory,https://hdl.handle.net/2027/heb04837.0001.001,9780520264236
Kuriyama, Shigehisa,The expressiveness of the body and the divergence of Greek and Chinese medicine,,,,New York,Zone Books,1999-01-01,HEB05763.0001.001,Medicine,https://hdl.handle.net/2027/heb05763.0001.001,9780942299892
Elton, G. R.,Political history: principles and practice,,,,New York,Basic Books,1970-01-01,HEB04816.0001.001,Methods/Theory,https://hdl.handle.net/2027/heb04816.0001.001,9780465058945
Toker, Franklin,The Church of Notre-Dame in Montreal: an architectural history,,,,Montreal,McGill-Queen's University Press,1991-01-01,HEB05862.0001.001,Architectural History,https://hdl.handle.net/2027/heb05862.0001.001,9780773585041
Van Zanten, David,"Designing Paris: the architecture of Duban, Labrouste, Duc, and Vaudoyer",,,,"Cambridge, Mass.",The MIT Press,1987-01-01,HEB05880.0001.001,Architectural History,https://hdl.handle.net/2027/heb05880.0001.001,9780262220316
Friedman, David,Florentine new towns: urban design in the late Middle Ages,,,,"New York, N.Y.",Architectural History Foundation,1988-01-01,HEB05881.0001.001,Architectural History,https://hdl.handle.net/2027/heb05881.0001.001,9780262061131
Lane, Barbara Miller,"Architecture and politics in Germany, 1918-1945",,,,"Cambridge, Mass.",Harvard University Press,1985-01-01,HEB05860.0001.001,Architectural History,https://hdl.handle.net/2027/heb05860.0001.001,9780674043701
,,"Tracts on liberty in the Puritan Revolution, 1638-1647, Vol. 1",,,,New York,Columbia University Press,1934-01-01,HEB05998.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb05998.0001.001
,,The correspondence of Pope Gregory VII: selected letters from the Registrum,,,,New York,Columbia University Press,1990-01-01,HEB05995.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb05995.0001.001,9780231096270
Dubois, Pierre,The recovery of the Holy Land,,,,New York,Columbia University Press,1956-01-01,HEB05990.0001.001,Middle Eastern: 632-1918,https://hdl.handle.net/2027/heb05990.0001.001
Ferguson, Mary Anne,"Bibliography of English translations from medieval sources, 1943-1967",,,,New York,Columbia University Press,1974-01-01,HEB05992.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb05992.0001.001,9780231034357
Siegmund, Stefanie B.,The Medici state and the ghetto of Florence: the construction of an early modern Jewish community,,,,"Stanford, Calif.",Stanford University Press,2006-01-01,HEB06212.0001.001,Jewish Studies,https://hdl.handle.net/2027/heb06212.0001.001,9780804750783
Shagan, Ethan H.,Popular politics and the English Reformation,,,,"Cambridge, U.K.",Cambridge University Press,2003-01-01,HEB06210.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb06210.0001.001,9780521808460
Curta, Florin,"The making of the slavs: history and archaeology of the Lower Danube Region, ca. 500-700",,,,Cambridge,Cambridge University Press,2001-01-01,HEB06209.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb06209.0001.001,9780521802024
Schiebinger, Londa L.,Plants and empire: colonial bioprospecting in the Atlantic world,,,,"Cambridge, MA",Harvard University Press,2004-01-01,HEB06217.0001.001,Environmental History,https://hdl.handle.net/2027/heb06217.0001.001,9780674043275
Damon, Phillip (editor),Literary criticism and historical understanding: selected papers from the English Institute,,,,New York,Columbia University Press,1967-01-01,HEB06539.0001.001,Literature,https://hdl.handle.net/2027/heb06539.0001.001,9780231030861
Rabkin, Norman (editor),Reinterpretations of Elizabethan drama: selected papers from the English Institute,,,,New York,Columbia University Press,1969-01-01,HEB06538.0001.001,Literature,https://hdl.handle.net/2027/heb06538.0001.001,9780231033282
Brower, Reuben Arthur (editor),Forms of lyric: selected papers from the English Institute,,,,New York,Columbia University Press,1970-01-01,HEB06536.0001.001,Literature,https://hdl.handle.net/2027/heb06536.0001.001,9780231034135
Ellmann, Richard (editor),Edwardians and late Victorians,,,,New York,Columbia University Press,1960-01-01,HEB06546.0001.001,Literature,https://hdl.handle.net/2027/heb06546.0001.001,9780231024181
Sabin, Joseph,"Bibliotheca Americana: a dictionary of books relating to America, from its discovery to the present time, Vol. 6",,,,New York,Joseph Sabin,1868-01-01,HEB06641.0006.001,Bibliography,https://hdl.handle.net/2027/heb06641.0006.001
Sabin, Joseph,"Bibliotheca Americana: a dictionary of books relating to America, from its discovery to the present time, Vol. 8",,,,New York,Joseph Sabin,1868-01-01,HEB06641.0008.001,Bibliography,https://hdl.handle.net/2027/heb06641.0008.001
Sabin, Joseph,"Bibliotheca Americana: a dictionary of books relating to America, from its discovery to the present time, Vol. 5",,,,New York,Joseph Sabin,1868-01-01,HEB06641.0005.001,Bibliography,https://hdl.handle.net/2027/heb06641.0005.001
Sabin, Joseph,"Bibliotheca Americana: a dictionary of books relating to America, from its discovery to the present time, Vol. 7",,,,New York,Joseph Sabin,1868-01-01,HEB06641.0007.001,Bibliography,https://hdl.handle.net/2027/heb06641.0007.001
,,The Vertical mosaic revisited,,,,Toronto,University of Toronto Press,1998-01-01,HEB06842.0001.001,Canadian,https://hdl.handle.net/2027/heb06842.0001.001,9781442683051
Webber, Jeremy H. A.,"Reimagining Canada: language, culture, community and the Canadian constitution",,,,Kingston [Ont.],McGill-Queen's University Press,1994-01-01,HEB06845.0001.001,Canadian,https://hdl.handle.net/2027/heb06845.0001.001,9780773564473
Kidd, Bruce,The struggle for Canadian sport,,,,Toronto,University of Toronto Press,1996-01-01,HEB06789.0001.001,Canadian,https://hdl.handle.net/2027/heb06789.0001.001,9781442690691
Westell, Anthony,Reinventing Canada,,,,Toronto,Dundurn Press,1994-01-01,HEB06846.0001.001,Canadian,https://hdl.handle.net/2027/heb06846.0001.001,9781550022285
,,"English choral practice, 1400-1650",,,,"Cambridge, UK",Cambridge University Press,1995-01-01,HEB07601.0001.001,Dance & Performance History,https://hdl.handle.net/2027/heb07601.0001.001,9781139085106
Marx, Adolf Bernhard,Musical form in the age of Beethoven: selected writings on theory and method,,,,"Cambridge, [U.K.]",Cambridge University Press,1997-01-01,HEB07602.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07602.0001.001,9780521452748
Hay, Samuel A,African American theatre: an historical and critical analysis,,,,Cambridge [U.K.],Cambridge University Press,1994-01-01,HEB07605.0001.001,Dance & Performance History,https://hdl.handle.net/2027/heb07605.0001.001,9781139085748
Ross, Kathleen,The baroque narrative of Carlos de Sigüenza y Góngora: a new world paradise,,,,Cambridge [England],Cambridge University Press,1993-01-01,HEB07569.0001.001,Literature,https://hdl.handle.net/2027/heb07569.0001.001,9781139085861
Palmer, James,The films of Joseph Losey,,,,Cambridge [U.K.],Cambridge University Press,1993-01-01,HEB07598.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb07598.0001.001,9781139085380
Thomas, Downing A,Music and the origins of language: theories from the French Enlightenment,,,,"Cambridge, [U.K.]",Cambridge University Press,1995-01-01,HEB07603.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07603.0001.001,9780521473071
Pittock, Murray,Poetry and Jacobite politics in eighteenth-century Britain and Ireland,,,,"Cambridge, [U.K.]",Cambridge University Press,1994-01-01,HEB07599.0001.001,Literature,https://hdl.handle.net/2027/heb07599.0001.001,9781139085274
Boltwood, Scott,"Brian Friel, Ireland, and the North",,,,"Cambridge, UK",Cambridge University Press,2007-01-01,HEB07600.0001.001,Dance & Performance History,https://hdl.handle.net/2027/heb07600.0001.001,9780521873864
Sisman, Elaine Rochelle,"Mozart, the ""Jupiter"" symphony, no. 41 in C major, K. 551",,,,Cambridge [U.K.],Cambridge University Press,1993-01-01,HEB07628.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07628.0001.001,9781139085694
Pople, Anthony,"Messiaen, Quatuor pour la fin du temps",,,,"Cambridge, U.K.",Cambridge University Press,1998-01-01,HEB07626.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07626.0001.001,9781139085663
Block, Geoffrey Holden,"Ives, Concord sonata: piano sonata no. 2 (""Concord, Mass., 1840-1860"")",,,,Cambridge [U.K.],Cambridge University Press,1996-01-01,HEB07624.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07624.0001.001,9781139085175
Marston, Nicholas,"Schumann, Fantasie, op. 17",,,,Cambridge [U.K.],Cambridge University Press,1992-01-01,HEB07625.0001.001,Music & Musicology,https://hdl.handle.net/2027/heb07625.0001.001,9781139086011
Skowronek, Stephen,"Building a new American state: the expansion of national administrative capacities, 1877-1920",,,,Cambridge,Cambridge University Press,1982-01-01,HEB07933.0001.001,Legal,https://hdl.handle.net/2027/heb07933.0001.001,9780521288651
,,The state and freedom of contract,,,,"Stanford, Calif.",Stanford University Press,1998-01-01,HEB07929.0001.001,Legal,https://hdl.handle.net/2027/heb07929.0001.001,9780804741910
Tushnet, Mark V.,"The American law of slavery, 1810-1860: considerations of humanity and interest",,,,"Princeton, N.J.",Princeton University Press,1981-01-01,HEB07937.0001.001,Legal,https://hdl.handle.net/2027/heb07937.0001.001,9780691198156
Horwitz, Morton J.,"The transformation of American law, 1780-1860",,,,"Cambridge, Mass.",Harvard University Press,1977-01-01,HEB07880.0001.001,Legal,https://hdl.handle.net/2027/heb07880.0001.001,9780674903715
Kinder, Marsha,Blood cinema: the reconstruction of national identity in Spain,,,,Berkeley,University of California Press,1993-01-01,HEB08027.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08027.0001.001,9780520913479
Flinn, Caryl,Brass diva: the life and legends of Ethel Merman,,,,Berkeley,University of California Press,2007-01-01,HEB08030.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08030.0001.001,9780520927254
Auerbach, Jonathan,Body shots: early cinema's incarnations,,,,Berkeley,University of California Press,2007-01-01,HEB08028.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08028.0001.001,9780520941199
Ukadike, Nwachukwu Frank,Black African cinema,,,,Berkeley,University of California Press,1994-01-01,HEB08025.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08025.0001.001,9780520912366
Polan, Dana B.,Scenes of instruction: the beginnings of the U.S. study of film,,,,Berkeley,University of California Press,2007-01-01,HEB08143.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08143.0001.001,9780520940208
Barrier, J. Michael,The animated man: a life of Walt Disney,,,,Berkeley,University of California Press,2007-01-01,HEB08168.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08168.0001.001,9780520941663
,,Screen writings: scripts and texts by independent filmmakers,,,,"Berkeley, Calif.",University of California Press,1995-01-01,HEB08145.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08145.0001.001,9780520913110
Fitch, Melissa A.,"Side dishes: Latina American women, sex, and cultural production",,,,"New Brunswick, N.J.",Rutgers University Press,2009-01-01,HEB08154.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08154.0001.001,9780813548531
Lenski, Noel Emmanuel,Failure of empire: Valens and the Roman state in the fourth century A.D.,,,,Berkeley,University of California Press,2002-01-01,HEB08177.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb08177.0001.001,9780520928534
King, Rob,The fun factory: the Keystone Film Company and the emergence of mass culture,,,,Berkeley,University of California Press,2009-01-01,HEB08181.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08181.0001.001,9780520255388
Thompson, Kristin,The Frodo franchise: the Lord of the rings and modern Hollywood,,,,Berkeley,University of California Press,2007-01-01,HEB08180.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08180.0001.001,9780520932876
"Hanson, Patricia King (editor); Gevinson"," Patricia King (editor); Gevinson, Alan (editor)","The American Film Institute catalog of motion pictures produced in the United States: feature films, 1911-1920, Vol. 1",,,,Berkeley,University of California Press,1988-01-01,HEB08162.0001.001,Film & Media Studies,https://hdl.handle.net/2027/heb08162.0001.001,9780520063013
Salzman, Michele Renee,On Roman time: the codex-calendar of 354 and the rhythms of urban life in late antiquity,,,,Berkeley,University of California Press,1990-01-01,HEB08381.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb08381.0001.001,9780520909106
Trout, Dennis E.,"Paulinus of Nola: life, letters, and poems",,,,Berkeley,University of California Press,1999-01-01,HEB08374.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb08374.0001.001,9780520922327
Straw, Carole Ellen,Gregory the Great: perfection in imperfection,,,,"Berkeley, Calif.",University of California Press,1988-01-01,HEB08382.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb08382.0001.001,9780520909878
Rousseau, Philip,Basil of Caesarea,,,,"Berkeley, Calif.",University of California Press,1998-01-01,HEB08380.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb08380.0001.001,9780520921061
,,"Soviet military intervention in Hungary, 1956",,,,New York,Central European University Press,1999-01-01,HEB08622.0001.001,Central European,https://hdl.handle.net/2027/heb08622.0001.001,9789639116368
Szita, Szabolcs,"Trading in lives?: operations of the Jewish Relief and Rescue Committee in Budapest, 1944-1945",,,,Budapest,Central European University Press,2005-01-01,HEB08626.0001.001,Central European,https://hdl.handle.net/2027/heb08626.0001.001,9789637326301
Purlevskii, Savva Dmitrievich,"A life under Russian serfdom: the memoirs of Savva Dmitrievich Purlevskii, 1800-1868",,,,Budapest,Central European University Press,2005-01-01,HEB08628.0001.001,Central European,https://hdl.handle.net/2027/heb08628.0001.001,9789639241992
Jaspers, Karl,The question of German guilt,,,,New York,Fordham University Press,2001-01-01,HEB08575.0001.001,Philosophy,https://hdl.handle.net/2027/heb08575.0001.001,9780823220694
,,"Dancing from past to present: nation, culture, identities",,,,"Madison, Wis.",The University of Wisconsin Press,2006-01-01,HEB08794.0001.001,Dance & Performance History,https://hdl.handle.net/2027/heb08794.0001.001,9780299218546
Pinto, Sarah,Where there is no midwife: birth and loss in rural India,,,,New York,Berghahn Books,2008-01-01,HEB08694.0001.001,Gender Studies,https://hdl.handle.net/2027/heb08694.0001.001,9781845453107
Fogelmark, Staffan,Flemish and related panel-stamped bindings: evidence and principles,,,,New York,Bibliographical Society of America,1990-01-01,HEB08873.0001.001,Bibliography,https://hdl.handle.net/2027/heb08873.0001.001,9780914930143
Ramirez, Josué,Against machismo: young adult voices in Mexico City,,,,New York,Berghahn Books,2008-01-01,HEB08695.0001.001,Gender Studies,https://hdl.handle.net/2027/heb08695.0001.001,9781845458850
,,Innovation and tradition in the writings of the Venerable Bede,,,,Morgantown,West Virginia University Press,2006-01-01,HEB08903.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb08903.0001.001,9781935978299
Jurasinski, Stefan,"Ancient privileges: Beowulf, law and the making of Germanic antiquity",,,,Morgantown,West Virginia University Press,2006-01-01,HEB08904.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb08904.0001.001,9781935978336
Nietzsche, Friedrich Wilhelm,Untimely meditations,,,,Cambridge [U.K.],Cambridge University Press,1997-01-01,HEB08912.0001.001,Philosophy,https://hdl.handle.net/2027/heb08912.0001.001,9780521585842
Moretti, Franco,"Graphs, maps, trees: abstract models for a literary history",,,,London,Verso,2007-01-01,HEB08911.0001.001,Comparative/World,https://hdl.handle.net/2027/heb08911.0001.001,9781844671854
Weiss, Herbert F.,Political protest in the Congo: the Parti solidaire africain during the independence struggle,,,,"Princeton, N.J.",Princeton University Press,1967-01-01,HEB09240.0001.001,African,https://hdl.handle.net/2027/heb09240.0001.001,9780691656922
Sears, Laurie J.,Shadows of empire: colonial discourse and Javanese tales,,,,"Durham, NC",Duke University Press,1996-01-01,HEB09226.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb09226.0001.001,9780822316978
Callahan, Mary P.,Making enemies: war and state building in Burma,,,,Ithaca,Cornell University Press,2005-01-01,HEB09232.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb09232.0001.001,9780801472671
Kwon, Heonik,Ghosts of war in Vietnam,,,,Cambridge [U.K.],Cambridge University Press,2008-01-01,HEB09237.0001.001,Asian: South and Southeast,https://hdl.handle.net/2027/heb09237.0001.001,9781107659421
Gaudet, Marcia G.,Carville: remembering leprosy in America,,,,Jackson,University Press of Mississippi,2004-01-01,HEB09312.0001.001,Folklore,https://hdl.handle.net/2027/heb09312.0001.001,9781604736038
Maza, Sarah C.,"The myth of the French bourgeoisie: an essay on the social imaginary, 1750-1850",,,,"Cambridge, Mass.",Harvard University Press,2003-01-01,HEB09299.0001.001,European: 1800-present,https://hdl.handle.net/2027/heb09299.0001.001,9780674040724
Williams, Daryle,"Culture wars in Brazil: the first Vargas regime, 1930-1945",,,,Durham [N.C.],Duke University Press,2001-01-01,HEB09293.0001.001,Latin American,https://hdl.handle.net/2027/heb09293.0001.001,9780822380962
Stuurman, Siep,François Poulain de la Barre and the invention of modern equality,,,,"Cambridge, Mass.",Harvard University Press,2004-01-01,HEB09300.0001.001,European: 1400-1800,https://hdl.handle.net/2027/heb09300.0001.001,9780674011854
Harding, Susan Friend,The book of Jerry Falwell: fundamentalist language and politics,,,,Princeton,Princeton University Press,2001-01-01,HEB30599.0001.001,Religion,https://hdl.handle.net/2027/heb30599.0001.001,9780691190464
Kohn, Livia,Early Chinese mysticism: philosophy and soteriology in the Taoist tradition,,,,"Princeton, N.J.",Princeton University Press,1992-01-01,HEB30668.0001.001,Religion,https://hdl.handle.net/2027/heb30668.0001.001,9781400844463
Derrida, Jacques,The animal that therefore I am,,,,New York,Fordham University Press,2008-01-01,HEB30596.0001.001,Religion,https://hdl.handle.net/2027/heb30596.0001.001,9780823227921
Evans, Curtis J.,The burden of Black religion,,,,Oxford [U.K.],Oxford University Press,2008-01-01,HEB30589.0001.001,Religion,https://hdl.handle.net/2027/heb30589.0001.001,9780199716548
,,Gods of the city: religion and the American urban landscape,,,,"Bloomington, IN",Indiana University Press,1999-01-01,HEB30723.0001.001,Religion,https://hdl.handle.net/2027/heb30723.0001.001,9780253334992
,,"On sacred grounds: culture, society, politics, and the formation of the cult of Confucius",,,,"Cambridge, Mass.",Harvard University Asia Center,2002-01-01,HEB30742.0001.001,Religion,https://hdl.handle.net/2027/heb30742.0001.001,9781684173778
Lazier, Benjamin,God interrupted: heresy and the European imagination between the world wars,,,,Princeton,Princeton University Press,2008-01-01,HEB30740.0001.001,Religion,https://hdl.handle.net/2027/heb30740.0001.001,9781400837656
Boyer, Pascal,Religion explained: the evolutionary origins of religious thought,,,,New York,Basic Books,2001-01-01,HEB30744.0001.001,Religion,https://hdl.handle.net/2027/heb30744.0001.001,9780465006960
,,"Building bridges, doing justice: constructing a Latino/a ecumenical theology",,,,"Maryknoll, N.Y.",Orbis Books,2009-01-01,HEB31275.0001.001,Religion,https://hdl.handle.net/2027/heb31275.0001.001,9781608331604
Medina, Néstor,"Mestizaje: (re)mapping race, culture, and faith in Latina/o Catholicism",,,,"Maryknoll, N.Y.",Orbis Books,2009-01-01,HEB31277.0001.001,Religion,https://hdl.handle.net/2027/heb31277.0001.001,9781608333615
Boyer, Marjorie Nice,Medieval French bridges: a history,,,,"Cambridge, Mass.",Medieval Academy of America,1976-01-01,HEB31127.0001.001,European: 400-1400,https://hdl.handle.net/2027/heb31127.0001.001,9780910956581
Gómez-Ruiz, Raúl,"Mozarabs, Hispanics, and the Cross",,,,"Maryknoll, N.Y.",Orbis Books,2007-01-01,HEB31276.0001.001,Religion,https://hdl.handle.net/2027/heb31276.0001.001,9781608334018
Brown-Nagin, Tomiko,Courage to dissent: Atlanta and the long history of the civil rights movement,,,,Oxford [U.K.],Oxford University Press,2011-01-01,HEB31503.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb31503.0001.001,9780199932016
HoSang, Daniel,Racial propositions: ballot initiatives and the making of postwar California,,,,Berkeley,University of California Press,2010-01-01,HEB31505.0001.001,American: 1900-present,https://hdl.handle.net/2027/heb31505.0001.001,9780520947719
Mayeri, Serena,"Reasoning from race: feminism, law, and the civil rights revolution",,,,"Cambridge, Mass.",Harvard University Press,2014-01-01,HEB31486.0001.001,Women's Studies,https://hdl.handle.net/2027/heb31486.0001.001,9780674284302
Singh, Nikhil Pal,Black is a country: race and the unfinished struggle for democracy,,,,"Cambridge, Mass.",Harvard University Press,2005-01-01,HEB31493.0001.001,Race,https://hdl.handle.net/2027/heb31493.0001.001,9780674019515
Skidmore, Thomas E.,"The politics of military rule in Brazil, 1964-85",,,,New York,Oxford University Press,1989-01-01,HEB31611.0001.001,Latin American,https://hdl.handle.net/2027/heb31611.0001.001,9780195063165
Scheper-Hughes, Nancy,Death without weeping: the violence of everyday life in Brazil,,,,Berkeley,University of California Press,1993-01-01,HEB31614.0001.001,Latin American,https://hdl.handle.net/2027/heb31614.0001.001,9780520911567
Marcus, Joyce,"Mesoamerican writing systems: propaganda, myth, and history in four ancient civilizations",,,,"Princeton, N.J.",Princeton University Press,1992-01-01,HEB31616.0001.001,Latin American,https://hdl.handle.net/2027/heb31616.0001.001,9781400849802
Shumway, Nicolas,The invention of Argentina,,,,Berkeley,University of California Press,1993-01-01,HEB31613.0001.001,Latin American,https://hdl.handle.net/2027/heb31613.0001.001,9780520913851
Ando, Clifford,Imperial ideology and provincial loyalty in the Roman Empire,,,,Berkeley,University of California Press,2000-01-01,HEB31907.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb31907.0001.001,9780520923720
Struck, Peter T.,Birth of the symbol: ancient readers at the limits of their texts,,,,"Princeton, N.J.",Princeton University Press,2004-01-01,HEB31910.0001.001,European: Ancient to 400 C.E.,https://hdl.handle.net/2027/heb31910.0001.001,9781400826094
